Unnamed: 0,Dates,Gold Price,Inflation,Inflation Rate,CI
152,2013-01-01,30520.19,,,
151,2013-02-01,29963.48,,-1.824071213187071,-1.824071213187071
150,2013-03-01,29513.75,,-1.5009271286245776,-3.297620362127492
149,2013-04-01,27742.6,,-6.001101181652625,-9.100828009262067
148,2013-05-01,26768.65,,-3.510665907305001,-12.29199425036344
147,2013-06-01,27178.13,,1.5296998541203966,-10.95032501435934
146,2013-07-01,26928.15,,-0.919783664291839,-11.769389377982238
145,2013-08-01,30216.3,,12.210827702608599,-0.995701533968168
144,2013-09-01,30473.04,,0.8496738515304707,-0.1544878980111127
143,2013-10-01,30709.63,,0.776391196939984,0.6207038684883756
142,2013-11-01,30739.6,,0.09759153724742867,0.7189011601828162
141,2013-12-01,29904.2,,-2.717667113430226,-2.0183032936557668
140,2014-01-01,29581.85,,-1.077942228850804,-3.074489378997969
139,2014-02-01,30210.68,,2.1257291210657945,-1.014115573985609
138,2014-03-01,29831.88,,-1.253861217291366,-2.2552611893962577
137,2014-04-01,29328.91,,-1.6860150952605104,-3.9032522405659957
136,2014-05-01,28738.0,,-2.014769727207727,-5.839380423254242
135,2014-06-01,27427.4,,-4.5605122137935785,-10.133586979635439
134,2014-07-01,28007.59,,2.115366385439373,-8.232583086802535
133,2014-08-01,28079.57,,0.25700176273645664,-7.996739207717904
132,2014-09-01,26962.6,,-3.977874305055246,-11.656513278587061
131,2014-10-01,26990.73,,0.10432970114158507,-11.564344782912555
130,2014-11-01,26115.0,,-3.244558409498371,-14.43369127125355
129,2014-12-01,26678.27,,2.1568830174229388,-12.588126089647536
128,2015-01-01,27403.27,,2.7175675184335413,-10.212649397005714
127,2015-02-01,27075.48,,-1.1961711138853168,-11.286659748841666
126,2015-03-01,26167.83,,-3.352295139365942,-14.260592742050418
125,2015-04-01,26682.61,,1.9672246418598667,-12.573905994687445
124,2015-05-01,27093.04,,1.5381928529480446,-11.22912406508609
123,2015-06-01,26645.96,,-1.6501655037603817,-12.693990437149965
122,2015-07-01,25539.38,,-4.152899726637727,-16.31972146962387
121,2015-08-01,25728.54,,0.7406601099948388,-15.699935026616801
120,2015-09-01,26245.83,,2.0105688080240887,-14.005024215117917
119,2015-10-01,26576.59,,1.260238293092649,-12.921282600141081
118,2015-11-01,25648.39,,-3.492547388509966,-15.962548070637828
117,2015-12-01,25207.38,,-1.7194451581561199,-17.407525968875024
116,2016-01-01,25997.5,,3.134478870870352,-14.818682321440328
115,2016-02-01,28251.67,,8.670718338301754,-7.4328501886783815
114,2016-03-01,28794.25,,1.9205236363018603,-5.655076197100997
113,2016-04-01,28818.16,,0.08303741198329477,-5.576734614037458
112,2016-05-01,29639.09,,2.8486551535559532,-2.8869413984644217
111,2016-06-01,29745.45,,0.3588504235453942,-2.5384507763549244
110,2016-07-01,30941.75,,4.021791568122181,1.381249592482882
109,2016-08-01,31270.0,,1.0608643661072823,2.4567671433238174
108,2016-09-01,31178.0,,-0.29421170450911416,2.15532734232651
